"","Network","remove_strategy","remove_ratio","remove_number","measure","Mean","SD"
"237","TW","node_degree_high",0.9,"211","Eff",0.0058451519967185,NA
"238","TW","node_degree_high",0.9,"211","Eigen",0.0031959764753391,NA
"239","TW","node_degree_high",0.9,"211","Pcr",2.03273185060848,NA
"240","CW","edge_rand",0,"0","Eff",0.328023480573893,0
"241","CW","edge_rand",0,"0","Eigen",2.29116766171367,0
"242","CW","edge_rand",0,"0","Pcr",0.986935858009626,0
"243","CW","edge_rand",0.1,"692","Eff",0.321161548125661,0.00325275502308262
"244","CW","edge_rand",0.1,"692","Eigen",1.4128550170128,0.0259153439661665
"245","CW","edge_rand",0.1,"692","Pcr",0.983975178208536,0.00010378494492881
"246","CW","edge_rand",0.2,"1383","Eff",0.316481714665871,0.00500374703417591
"247","CW","edge_rand",0.2,"1383","Eigen",0.72841451009685,0.0388172087940817
"248","CW","edge_rand",0.2,"1383","Pcr",0.979963731778798,0.00022227547772655
"249","CW","edge_rand",0.3,"2075","Eff",0.309076576711955,0.00528663665840604
"250","CW","edge_rand",0.3,"2075","Eigen",0.272399974748281,0.0183347517069587
"251","CW","edge_rand",0.3,"2075","Pcr",0.974007284454921,0.000351320835466216
"252","CW","edge_rand",0.4,"2766","Eff",0.301497411488586,0.00612858104646252
"253","CW","edge_rand",0.4,"2766","Eigen",0.0959217958318236,0.00548030204885522
"254","CW","edge_rand",0.4,"2766","Pcr",0.964806412257093,0.000690029468928283
"255","CW","edge_rand",0.5,"3458","Eff",0.292951442081154,0.00508107941044948
"256","CW","edge_rand",0.5,"3458","Eigen",0.0445868995733079,0.00121363652190216
"257","CW","edge_rand",0.5,"3458","Pcr",0.950046306253193,0.000632646619288098
"258","CW","edge_rand",0.6,"4150","Eff",0.281172818432393,0.00703692326900843
"259","CW","edge_rand",0.6,"4150","Eigen",0.0273687844241569,0.00100946214188068
"260","CW","edge_rand",0.6,"4150","Pcr",0.922848462792607,0.00182181426817872
"261","CW","edge_rand",0.7,"4841","Eff",0.259428325415433,0.00704135416109206
"262","CW","edge_rand",0.7,"4841","Eigen",0.0190972481109762,0.000732791768943242
"263","CW","edge_rand",0.7,"4841","Pcr",0.859966480932439,0.00464213406166788
"264","CW","edge_rand",0.8,"5533","Eff",0.237410192231021,0.00635798302465501
"265","CW","edge_rand",0.8,"5533","Eigen",0.0140257559773605,0.000412668839943493
"266","CW","edge_rand",0.8,"5533","Pcr",0.659244184108894,0.0111234092413754
"267","CW","edge_rand",0.9,"6224","Eff",0.194814922665664,0.00825554228578095
"268","CW","edge_rand",0.9,"6224","Eigen",0.00881657107831855,0.000292955697007129
"269","CW","edge_rand",0.9,"6224","Pcr",-5.31519894615476,1.57052544390914
"270","CW","edge_strong",0,"0","Eff",0.328020537339708,NA
"271","CW","edge_strong",0,"0","Eigen",2.29126766694364,NA
"272","CW","edge_strong",0,"0","Pcr",0.986933488509178,NA
"273","CW","edge_strong",0.1,"692","Eff",0.325550213967944,NA
"274","CW","edge_strong",0.1,"692","Eigen",0.812008309945021,NA
"275","CW","edge_strong",0.1,"692","Pcr",0.982793708607624,NA
"276","CW","edge_strong",0.2,"1383","Eff",0.322376175386377,NA
"277","CW","edge_strong",0.2,"1383","Eigen",0.212797971606293,NA
"278","CW","edge_strong",0.2,"1383","Pcr",0.97714663362247,NA
"279","CW","edge_strong",0.3,"2075","Eff",0.319788932693154,NA
"280","CW","edge_strong",0.3,"2075","Eigen",0.0706987771009917,NA
"281","CW","edge_strong",0.3,"2075","Pcr",0.968945086465188,NA
"282","CW","edge_strong",0.4,"2766","Eff",0.315392913910856,NA
"283","CW","edge_strong",0.4,"2766","Eigen",0.0382045644781088,NA
"284","CW","edge_strong",0.4,"2766","Pcr",0.956102647772368,NA
"285","CW","edge_strong",0.5,"3458","Eff",0.316149982415761,NA
"286","CW","edge_strong",0.5,"3458","Eigen",0.0275619419951789,NA
"287","CW","edge_strong",0.5,"3458","Pcr",0.934982416220437,NA
"288","CW","edge_strong",0.6,"4150","Eff",0.308036901878701,NA
"289","CW","edge_strong",0.6,"4150","Eigen",0.0212742128646407,NA
"290","CW","edge_strong",0.6,"4150","Pcr",0.893927198623091,NA
"291","CW","edge_strong",0.7,"4841","Eff",0.286190803202362,NA
"292","CW","edge_strong",0.7,"4841","Eigen",0.0158918768658784,NA
"293","CW","edge_strong",0.7,"4841","Pcr",0.791548203949253,NA
"294","CW","edge_strong",0.8,"5533","Eff",0.264790406251015,NA
"295","CW","edge_strong",0.8,"5533","Eigen",0.0113652289857508,NA
"296","CW","edge_strong",0.8,"5533","Pcr",0.400192143180501,NA
"297","CW","edge_strong",0.9,"6224","Eff",0.211012265070392,NA
"298","CW","edge_strong",0.9,"6224","Eigen",0.0070742867322406,NA
"299","CW","edge_strong",0.9,"6224","Pcr",6.36697886004817,NA
"300","CW","node_rand",0,"0","Eff",0.328023480573893,0
"301","CW","node_rand",0,"0","Eigen",2.29116766171367,0
"302","CW","node_rand",0,"0","Pcr",0.986935858009626,0
"303","CW","node_rand",0.1,"35","Eff",0.322102022562073,0.00432904453399344
"304","CW","node_rand",0.1,"35","Eigen",1.87782406410408,0.168873167202768
"305","CW","node_rand",0.1,"35","Pcr",0.983783104017909,0.000972205379736296
"306","CW","node_rand",0.2,"71","Eff",0.313045213292285,0.00582888080191387
"307","CW","node_rand",0.2,"71","Eigen",1.410326038401,0.271490942139914
"308","CW","node_rand",0.2,"71","Pcr",0.979204916102679,0.00233801210103651
"309","CW","node_rand",0.3,"106","Eff",0.302484148705644,0.00840608792522942
"310","CW","node_rand",0.3,"106","Eigen",0.96441206911134,0.323202978442875
"311","CW","node_rand",0.3,"106","Pcr",0.971338104705139,0.00460387768330697
"312","CW","node_rand",0.4,"142","Eff",0.291867411337357,0.0116976231210366
"313","CW","node_rand",0.4,"142","Eigen",0.64332327205536,0.158592717458207
"314","CW","node_rand",0.4,"142","Pcr",0.960464269676839,0.00488117714791716
"315","CW","node_rand",0.5,"177","Eff",0.280504192958826,0.00971204974928704
"316","CW","node_rand",0.5,"177","Eigen",0.334610852452492,0.160299278882612
"317","CW","node_rand",0.5,"177","Pcr",0.936887484018106,0.0138603010172827
"318","CW","node_rand",0.6,"212","Eff",0.269614732037718,0.0194468168355275
"319","CW","node_rand",0.6,"212","Eigen",0.23994226530813,0.116616461104981
"320","CW","node_rand",0.6,"212","Pcr",0.908210316831645,0.0256829665502155
"321","CW","node_rand",0.7,"248","Eff",0.245125982736854,0.031199781952558
"322","CW","node_rand",0.7,"248","Eigen",0.14935651780072,0.0956192304775893
"323","CW","node_rand",0.7,"248","Pcr",0.817140859936982,0.0848672414352404
"324","CW","node_rand",0.8,"283","Eff",0.231836314634696,0.0260538896432247
"325","CW","node_rand",0.8,"283","Eigen",0.0868394665109271,0.0278127343998398
"326","CW","node_rand",0.8,"283","Pcr",0.567771185494353,0.134094727816896
"327","CW","node_rand",0.9,"319","Eff",0.172750110148008,0.040470163173717
"328","CW","node_rand",0.9,"319","Eigen",0.043112987946932,0.0100573104078728
"329","CW","node_rand",0.9,"319","Pcr",-1.04134871144939,17.6033895683237
"330","CW","node_degree_high",0,"0","Eff",0.327257317698646,NA
"331","CW","node_degree_high",0,"0","Eigen",2.16715039985777,NA
"332","CW","node_degree_high",0,"0","Pcr",0.986483950708763,NA
"333","CW","node_degree_high",0.1,"35","Eff",0.298286409999855,NA
"334","CW","node_degree_high",0.1,"35","Eigen",0.0912209901588178,NA
"335","CW","node_degree_high",0.1,"35","Pcr",0.95257888748492,NA
"336","CW","node_degree_high",0.2,"71","Eff",0.262814906429367,NA
"337","CW","node_degree_high",0.2,"71","Eigen",0.0222854254995831,NA
"338","CW","node_degree_high",0.2,"71","Pcr",0.803613413337079,NA
"339","CW","node_degree_high",0.3,"106","Eff",0.232831128099457,NA
"340","CW","node_degree_high",0.3,"106","Eigen",0.0137168604342149,NA
"341","CW","node_degree_high",0.3,"106","Pcr",0.225265348858429,NA
"342","CW","node_degree_high",0.4,"142","Eff",0.194656547502797,NA
"343","CW","node_degree_high",0.4,"142","Eigen",0.0103941518465766,NA
"344","CW","node_degree_high",0.4,"142","Pcr",-19.0848219178082,NA
"345","CW","node_degree_high",0.5,"177","Eff",0.165667439877624,NA
"346","CW","node_degree_high",0.5,"177","Eigen",0.0092249334429293,NA
"347","CW","node_degree_high",0.5,"177","Pcr",3.68478260869565,NA
"348","CW","node_degree_high",0.6,"212","Eff",0.0893081895021999,NA
"349","CW","node_degree_high",0.6,"212","Eigen",0.00683082657921485,NA
"350","CW","node_degree_high",0.6,"212","Pcr",2.29020357972401,NA
"351","CW","node_degree_high",0.7,"248","Eff",0.0167235452626498,NA
"352","CW","node_degree_high",0.7,"248","Eigen",0.00443750082106177,NA
"353","CW","node_degree_high",0.7,"248","Pcr",2.06042318796975,NA
"354","CW","node_degree_high",0.8,"283","Eff",0.00645793374664643,NA
"355","CW","node_degree_high",0.8,"283","Eigen",0.00289776879414056,NA
"356","CW","node_degree_high",0.8,"283","Pcr",2.01611594874681,NA
"357","CW","node_degree_high",0.9,"319","Eff",0.00634674936037132,NA
"358","CW","node_degree_high",0.9,"319","Pcr",2.00736609929668,NA
