,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV39,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV38,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV37,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niabella,s__norank_Niabella
ASV36,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__norank_Chryseobacterium
ASV35,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__norank_Chryseobacterium
ASV34,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV33,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propioniciclava,s__metagenome
ASV32,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__norank_Ottowia
ASV31,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,g__Shewanella,s__Shewanella_sp._NF20111223D
ASV307,k__norank_Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XII,g__Fusibacter,s__norank_Fusibacter
ASV306,k__norank_Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XII,g__Fusibacter,s__norank_Fusibacter
ASV305,k__norank_Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XII,g__Fusibacter,s__norank_Fusibacter
ASV304,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__norank_Saccharimonadaceae,s__norank_Saccharimonadaceae
ASV303,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__norank_Saccharimonadaceae,s__norank_Saccharimonadaceae
ASV302,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_sp._A1-ST2
